"Business ID","cuisine"
"RzKR9QcYP03EQ_8DxTxowg","mexican"
"2HZ4UGqSzbb91nWui7VYLg","mediteranian"
"V3USzFEGhuoXez4G2Rk11A","italian"
"E_Rxnmim6J2ECFtU0QGlsQ","chinese"
"DoSU8IPq-Py_YV3kYmXPfQ","italian"
"a2BkT6uUKDpzhLalkksJsg","mexican"
"LRgB2kEKtBxqIxNksTO_PQ","mediteranian"
"YNROFa4J25EujA2g6hl9mw","turkish"
"M-4J09S14mPsH1EJrnR1Og","chinese"
"NgD-6ogFGc_c4z5_Ur4k2g","indian"
"z2VXX7wGl8XZ6_oo9W3koA","indian"
"rp8S7scxOkVVeG7dNneMGQ","italian"
"BPErPpKSNluwcjbKRgze3w","chinese"
"tg2I4TLCUNr_llG2xLE4sg","turkish"
"'-Q8MYIWoE4EsGQtudIOY0w","thai"
"RXCCofQw1EjTcSN0ZeXfRA","italian"
"Rj2ACaJcbroJLPDhRhzvBw","turkish"
"YS8pw7sYOBqaW23FCOqecg","thai"
"mMuAsPSy2T56j0ENSTPL9w","mediteranian"
"xemN4tP9RlK5c-yUT-M71Q","mexican"
"9_CEU7Wmvmwlyvqr-PJD6w","mexican"
"iHinXbZk2625noKq9XSvzA","mexican"
"hdiuRS9sVZSMReZm4oV5SA","italian"
"BNaveJmi-OUGKG9sRfrIhA","chinese"
"HEs6llkn3wIP1ATXeIZQew","indian"
"6Ct7OeTRn4caY9g0swFBsw","mexican"
"Ve6GVzzJpR5QIIPdcn6ViQ","italian"
"TPSY6gS0-cncBwlPOUYs1Q","turkish"
"raqwXUBlnc0e8c7CYmxEJQ","italian"
"O1fUmxt3kbV-rnyjBtzAfw","thai"
"uLWp1QR_W2WJImMnB706hg","mexican"
"pCfGgX0WxGASGM4-Yhr2Pw","chinese"
"wzbta6vcz3YNLZDhgrzy1w","turkish"
"TzVVPWK_4dhdSEpNqZwIhQ","italian"
"L3REPLCvQpMapYPd_fkS-A","mexican"
"B3_K2kUVbYOU0VaLcj_LTw","thai"
"HiNUBUR1hFwScd_OvVLQAg","italian"
"ODJmiHFJoUuXJVlxGSX7Yw","thai"
"jf3JRaxUYU93x8LFU-8gkA","indian"
"83BXSwE0166sObnXLUE4bQ","thai"
"B2X53VuOuLyXe0OsGY-ZzA","italian"
"q7U2GCMWIZxIqWeMDml0LQ","mediteranian"
"iiP46Z-A_ClynkS_qFQKEQ","chinese"
"Tp3MF3DNXuW41A10PQ2nFw","turkish"
"_z2_1TE_1brlvljiGtJ4mA","indian"
"yB4ziqFM_7V8JxJas7CHfA","italian"
"HpxYBu1ARzOGvuUcLJe54g","italian"
"7gZGVdqMch7ls0IGO3DijQ","turkish"
"GjEE8vvjqb7eeHA3BGNxAw","italian"
"15svH3HiVDwHMSIlRYpk6A","indian"
"Xqk91WuhMeYS4pedccUYgA","indian"
"0IFDnYf3bhqxJR6hVrG7Gw","thai"
"x0k5kFArHLijdY8-NEQ7Xg","indian"
"CuwHhq1MKX5hm8YyxtqukQ","turkish"
"kzd10IXi3dTjoPw0TDj8tA","turkish"
"nELxK7TzX7bTCSBT79wWGA","turkish"
"xTWpl9DgIkkr5B8h8_xUpA","turkish"
"z7H9ApIGopnDnQaglnPTzg","italian"
"MaoCNdHni6MLjM9iYQqHcg","mexican"
"izRJeBfDQYJmd6ibIQ6Mfg","indian"
"gJXNSJ9VXTuCFmp_Kl9TVQ","chinese"
"9aJ1MVTthZw3QjqoG7mPjg","mexican"
"nrwOQSXoRXfAYhkdjiUk8g","mexican"
"ihzI-4yGesoQuAoIocao8g","mexican"
"rCtsqHtOAOjZ7EUQDFRSbA","thai"
"xCHApgtkLpEyh0lz-uhZvg","chinese"
"hKDCY-ZXcfPy4Vp8BfWnhw","turkish"
"h0pRCiJDrCN7tm3VX5tILQ","chinese"
"wfhMIiMh2A2psCGONOVSlg","chinese"
"AHrU1F123QPdVPTCnsy_xA","thai"
"Bt6RoIcazXayp1a8lMSvzA","turkish"
"SCQ9B9jxqNHvJKQ-RagxaA","italian"
"QqrEF8_ZQCGi63cL10J5oA","indian"
"B55Ocx5RBWxo6AGSucYSIA","turkish"
"vjubSxmdG_HoBBgd39geBw","italian"
"LkV96_buOU_n0br4SBO57w","italian"
"M1YYZ9cTVuMXLji_XF6rzg","mexican"
"M56MQwWsnP8BYgyLZ2WxVg","turkish"
"WJS06XxRdc6DD1s4LWE9HA","thai"
"ED91L2kUw_pwF_Pd1ZdViQ","mexican"
"xWLSJOiN1mMRHmBmHyjAfw","mexican"
"dYWjNK07igws9jFNgQmhng","mexican"
"VmdyRRMtUXOWV7F7w0ImwQ","italian"
"qhXIW0LDT4XsoN2IE6dZHg","indian"
"raGF9jAO7JOiIbFQ2_bTAg","indian"
"iXSuNKKUBIrBX7zUerlQDQ","indian"
"lnTPfdaqDqWjywWewsE2Lw","mediteranian"
"MhceeLrM2_3mcKw5EGLY6A","thai"
"ut-560tVcs2g-ZU0Y_qqHQ","indian"
"wGFSTTB6b4MHJJUzBnVJeg","thai"
"OCTiJwvjoK81WoDwsTkFvA","italian"
"Gi8HGtzVrxTg02IBXpSClw","turkish"
"PHMkwS5nmo4IUXbcg0OcAg","mexican"
"5TX0X8w5ssIACU_pnBEq6g","italian"
"0CjK3esfpFcxIopebzjFxA","chinese"
"lxHKbp0hReRBPZcq4fUUow","turkish"
"LVkBYW-FNaZ2h-0zB8-vzA","chinese"
"9pMhRYYgV7E9L7pzECtJKA","indian"
"SXWnyFNLCehVlJPRxk7gAg","mexican"
"1p4dUaLyzIhN5n1lJnHSgA","mediteranian"
"1p4dUaLyzIhN5n1lJnHSgA","turkish"
"3t1IjhshYUfDWIzpJn5YlQ","mexican"
"xGNzAsakHgbbl9fwgSoiUg","mexican"
"C3tP0fNNAoxOAC3O406CXQ","chinese"
"TgoYhgbPCYhLBNtpue3QHg","mexican"
"33ry5dmopDOElU7zf1Sn2w","thai"
"dtcV8BLJ-0yVdYi0rwlLog","turkish"
